disease_name,similar_diseases_count,known_drugs_count,overall_recommendations_count,similar_recommendations_count,metrics,success,error
Uterine leiomyoma,20,2,10,5,"{'overall_known_count': 2, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 2, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 0.5, 'similar_f1_score': 0.28571428571428575, 'combined_known_count': 2, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 0.5, 'combined_f1_score': 0.11764705882352941, 'disease_name': 'Uterine leiomyoma', 'known_drugs_count': 2, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 20}",True,
idiopathic pulmonary fibrosis,12,62,10,5,"{'overall_known_count': 62, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 62, 'similar_recs_count': 5, 'similar_overlap_count': 5, 'similar_precision': 1.0, 'similar_recall': 0.08064516129032258, 'similar_f1_score': 0.1492537313432836, 'combined_known_count': 62, 'combined_recs_count': 15, 'combined_overlap_count': 5, 'combined_precision': 0.3333333333333333, 'combined_recall': 0.08064516129032258, 'combined_f1_score': 0.12987012987012986, 'disease_name': 'idiopathic pulmonary fibrosis', 'known_drugs_count': 62, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 12}",True,
fetal growth restriction,1,6,10,0,"{'overall_known_count': 6, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 6, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 6, 'combined_recs_count': 10, 'combined_overlap_count': 0, 'combined_precision': 0.0, 'combined_recall': 0.0, 'combined_f1_score': 0.0, 'disease_name': 'fetal growth restriction', 'known_drugs_count': 6, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 1}",True,
Cholangitis,8,1,10,5,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 1, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 1.0, 'similar_f1_score': 0.33333333333333337, 'combined_known_count': 1, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 1.0, 'combined_f1_score': 0.125, 'disease_name': 'Cholangitis', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 8}",True,
Immunodeficiency,33,3,10,5,"{'overall_known_count': 3, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 3, 'similar_recs_count': 5, 'similar_overlap_count': 3, 'similar_precision': 0.6, 'similar_recall': 1.0, 'similar_f1_score': 0.7499999999999999, 'combined_known_count': 3, 'combined_recs_count': 15, 'combined_overlap_count': 3, 'combined_precision': 0.2, 'combined_recall': 1.0, 'combined_f1_score': 0.33333333333333337, 'disease_name': 'Immunodeficiency', 'known_drugs_count': 3, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 33}",True,
refractive error,2,1,10,0,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 1.0, 'overall_f1_score': 0.18181818181818182, 'similar_known_count': 1, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 1, 'combined_recs_count': 10, 'combined_overlap_count': 1, 'combined_precision': 0.1, 'combined_recall': 1.0, 'combined_f1_score': 0.18181818181818182, 'disease_name': 'refractive error', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 2}",True,
berylliosis,0,3,10,0,"{'overall_known_count': 3, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 3, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 3, 'combined_recs_count': 10, 'combined_overlap_count': 0, 'combined_precision': 0.0, 'combined_recall': 0.0, 'combined_f1_score': 0.0, 'disease_name': 'berylliosis', 'known_drugs_count': 3, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
X-Linked Combined Immunodeficiency Diseases,8,1,10,1,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 1, 'similar_recs_count': 1, 'similar_overlap_count': 1, 'similar_precision': 1.0, 'similar_recall': 1.0, 'similar_f1_score': 1.0, 'combined_known_count': 1, 'combined_recs_count': 11, 'combined_overlap_count': 1, 'combined_precision': 0.09090909090909091, 'combined_recall': 1.0, 'combined_f1_score': 0.16666666666666669, 'disease_name': 'X-Linked Combined Immunodeficiency Diseases', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 1, 'similar_diseases_count': 8}",True,
contracture,8,2,10,1,"{'overall_known_count': 2, 'overall_recs_count': 10, 'overall_overlap_count': 2, 'overall_precision': 0.2, 'overall_recall': 1.0, 'overall_f1_score': 0.33333333333333337, 'similar_known_count': 2, 'similar_recs_count': 1, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 2, 'combined_recs_count': 11, 'combined_overlap_count': 2, 'combined_precision': 0.18181818181818182, 'combined_recall': 1.0, 'combined_f1_score': 0.3076923076923077, 'disease_name': 'contracture', 'known_drugs_count': 2, 'overall_recommendations_count': 10, 'similar_recommendations_count': 1, 'similar_diseases_count': 8}",True,
chronic prostatitis,3,1,10,5,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 1.0, 'overall_f1_score': 0.18181818181818182, 'similar_known_count': 1, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 1, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 1.0, 'combined_f1_score': 0.125, 'disease_name': 'chronic prostatitis', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 3}",True,
